藥劑名稱,影響用途數,原分類,MRL國際普通名稱,有訂容許量的作物類別數,人工確認(是/否)
"賽洛寧",1042,"英文有效成分未對到","Cyhalothrin",71,
"福化利",20,"英文有效成分未對到","Fluvalinate",21,
"快伏草",19,"英文有效成分未對到","Quizalofop-ethyl",20,
"克熱淨",10,"英文有效成分未對到","Guazatine",1,
"本達隆",3,"英文有效成分未對到","Bentazone",7,
"克美素",3,"英文有效成分未對到","Chlormequat",11,
"氟氯比",2,"英文有效成分未對到","Fluroxypyr",1,
"艾維激素",2,"英文有效成分未對到","Aminoethoxyvinyl- glycine",5,
"美賜平",1,"英文有效成分未對到","Methoprene",5,
"汰草龍",1,"英文有效成分未對到","Dymron",1,
"礦物油",137,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"氫氧化銅",58,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"鋅錳乃浦",56,"英文有效成分未對到","(未對到:二硫代胺基甲酸鹽類)","MRL 以群組總量訂定,須確認併入哪個群組計算",
"甲基多保淨",50,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"鮎澤蘇力菌ABTS-1857",38,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"鋅錳座賽胺",33,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「座賽胺」,須逐一拆解",
"維利黴素",33,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"亞滅寧",33,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"斜紋夜蛾費洛蒙",31,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"庫斯蘇力菌ABTS-351",31,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"克熱淨(烷苯磺酸鹽)",31,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「克熱淨」,須逐一拆解",
"免得爛",29,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"甜菜夜蛾費洛蒙",28,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"鮎澤蘇力菌NB-200",27,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"免賴得",26,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"銅右滅達樂",24,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「滅達樂」,須逐一拆解",
"錳乃浦",24,"英文有效成分未對到","(未對到:二硫代胺基甲酸鹽類)","MRL 以群組總量訂定,須確認併入哪個群組計算",
"鋅錳克絕",24,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「克絕」,須逐一拆解",
"賽速洛寧",23,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"貝他-賽扶寧",22,"英文有效成分未對到","(未對到:異構物)","確認 MRL 的「賽扶寧」是否涵蓋本異構物",
"嘉磷塞異丙胺鹽",21,"英文有效成分未對到","(未對到:鹽類)","殘留物定義通常以母體計,確認是否等同「嘉磷塞」",
"蓋棘木黴菌ICC080/012",20,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"庫斯蘇力菌E-911",18,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"庫斯蘇力菌SA-12",18,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"枯草桿菌Y1336",17,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"庫斯蘇力菌SA-11",14,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"枯草桿菌KHY8",14,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"賽洛安勃",13,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
