作物,分類層級,對應食藥署類別,依據,人工確認(是/否),修正為
"木瓜","直接命中","大漿果類","食藥署清單直接列名",,
"水稻","直接命中","米類","食藥署清單直接列名",,
"小葉菜類","直接命中","小葉菜類","食藥署清單直接列名",,
"山藥","直接命中","根莖菜類","食藥署清單直接列名",,
"山蘇","直接命中","小葉菜類","食藥署清單直接列名",,
"仙草","直接命中","香辛植物及其他草木本植物","食藥署清單直接列名",,
"包葉菜類","直接命中","包葉菜類","食藥署清單直接列名",,
"甘藷","直接命中","根莖菜類","食藥署清單直接列名",,
"艾草","直接命中","香辛植物及其他草木本植物","食藥署清單直接列名",,
"芹菜","直接命中","小葉菜類","食藥署清單直接列名",,
"芥藍","直接命中","小葉菜類","食藥署清單直接列名",,
"柑桔類","直接命中","柑桔類","食藥署清單直接列名",,
"洋甘菊","直接命中","香辛植物及其他草木本植物","食藥署清單直接列名",,
"胡蘿蔔","直接命中","根莖菜類","食藥署清單直接列名",,
"香椿","直接命中","小葉菜類","食藥署清單直接列名",,
"馬鈴薯","直接命中","根莖菜類","食藥署清單直接列名",,
"茭白筍","直接命中","根莖菜類","食藥署清單直接列名",,
"莧菜","直接命中","小葉菜類","食藥署清單直接列名",,
"紫蘇","直接命中","小葉菜類","食藥署清單直接列名",,
"菠菜","直接命中","小葉菜類","食藥署清單直接列名",,
"落葵","直接命中","小葉菜類","食藥署清單直接列名",,
"過溝菜蕨","直接命中","小葉菜類","食藥署清單直接列名",,
"薄荷","直接命中","香辛植物及其他草木本植物","食藥署清單直接列名",,
"薑","直接命中","根莖菜類","食藥署清單直接列名",,
"蕹菜","直接命中","小葉菜類","食藥署清單直接列名",,
"羅勒","直接命中","小葉菜類","食藥署清單直接列名",,
"蘆筍","直接命中","根莖菜類","食藥署清單直接列名",,
"蘿蔔","直接命中","根莖菜類","食藥署清單直接列名",,
"高粱","直接命中","雜糧類","食藥署清單直接列名",,
"無花果","直接命中","小漿果類","食藥署清單直接列名",,
"番石榴","直接命中","小漿果類","食藥署清單直接列名",,
"楊桃","直接命中","小漿果類","食藥署清單直接列名",,
"葡萄","直接命中","小漿果類","食藥署清單直接列名",,
"蓮霧","直接命中","小漿果類","食藥署清單直接列名",,
"椰子","直接命中","堅果類","食藥署清單直接列名",,
"瓜果類","直接命中","瓜果類","食藥署清單直接列名",,
"瓜菜類","直接命中","瓜菜類","食藥署清單直接列名",,
"胡瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"大豆","直接命中","乾豆類","食藥署清單直接列名",,
"玉米","直接命中","雜糧類","食藥署清單直接列名",,
"香蕉","直接命中","大漿果類","食藥署清單直接列名",,
"荔枝","直接命中","核果類","食藥署清單直接列名",,
"番茄","直接命中","果菜類","食藥署清單直接列名",,
"落花生","直接命中","乾豆類","食藥署清單直接列名",,
"龍眼","直接命中","核果類","食藥署清單直接列名",,
"枸杞","直接命中","果菜類","食藥署清單直接列名",,
"茄子","直接命中","果菜類","食藥署清單直接列名",,
"香瓜茄","直接命中","果菜類","食藥署清單直接列名",,
"梨","直接命中","梨果類","食藥署清單直接列名",,
"甜椒","直接命中","果菜類","食藥署清單直接列名",,
"菱角","直接命中","根莖菜類","食藥署清單直接列名",,
"辣椒","直接命中","果菜類","食藥署清單直接列名",,
"樹番茄","直接命中","果菜類","食藥署清單直接列名",,
"刀豆","直接命中","豆菜類","食藥署清單直接列名",,
"山茼蒿","直接命中","小葉菜類","食藥署清單直接列名",,
"牛蒡","直接命中","根莖菜類","食藥署清單直接列名",,
"冬瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"白鳳菜","直接命中","小葉菜類","食藥署清單直接列名",,
"豆薯","直接命中","根莖菜類","食藥署清單直接列名",,
"金針","直接命中","果菜類","食藥署清單直接列名",,
"扁豆","直接命中","豆菜類","食藥署清單直接列名",,
"扁蒲","直接命中","瓜菜類","食藥署清單直接列名",,
"秋葵","直接命中","果菜類","食藥署清單直接列名",,
"紅鳳菜","直接命中","小葉菜類","食藥署清單直接列名",,
"夏南瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"珠蔥","直接命中","小葉菜類","食藥署清單直接列名",,
"茼蒿","直接命中","小葉菜類","食藥署清單直接列名",,
"隼人瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"絲瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"萊豆","直接命中","豆菜類","食藥署清單直接列名",,
"越瓜","直接命中","瓜菜類","食藥署清單直接列名",,
"綠豆","直接命中","乾豆類","食藥署清單直接列名",,
"酸漿","直接命中","果菜類","食藥署清單直接列名",,
"翼豆","直接命中","豆菜類","食藥署清單直接列名",,
"蕗蕎","直接命中","小葉菜類","食藥署清單直接列名",,
"結球白菜","直接命中","包葉菜類","食藥署清單直接列名",,
"百香果","直接命中","大漿果類","食藥署清單直接列名",,
"紅毛丹","直接命中","大漿果類","食藥署清單直接列名",,
