"本檔為研究建議，未經人工確認不得使用。"
"作物","建議","理由","來源網址","信心(高/中/低)"
"玫瑰","建議類別：香辛植物及其他草木本植物","食藥署分類表在食用花卉中明列玫瑰；本建議僅適用食用花用途。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"丹參","真的無法判斷","農業部資料指出根、莖可作食品但有限制；食藥署作物分類表未明列丹參，不能逕把藥用根材視為根莖菜。","https://kmweb.moa.gov.tw/knowledgebase.php?func=2&id=286675&type=12717；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"風茹","建議類別：香辛植物及其他草木本植物","食藥署分類表的草木本植物成員直接明列風茹草。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"菊","真的無法判斷","食藥署僅把食用菊花列為食用花卉；「菊」也可能是觀賞栽培，名稱不足以確認用途。","https://data.fda.gov.tw/data/opendata/export/16/json","中"
"當歸","建議類別：香辛植物及其他草木本植物（需確認食用用途）","農業部資料指出根可作藥膳、葉可調味，並稱其可作香辛料；但食藥署分類表未直接明列，仍須確認施藥標的部位。","https://kmweb.moa.gov.tw/subject/subject.php?id=34730；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"檳榔","建議非食用","食藥署22類作物表未列檳榔；衛福部將檳榔子列為第一類致癌物並勸止嚼食。供殘留分類使用前應由主管機關確認。","https://www.mohw.gov.tw/cp-2704-58752-1.html；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"黃麻","建議非食用","農業部林業試驗所資料將黃麻定位為取莖皮纖維、供繩索與麻袋的纖維作物。","https://tpbg.tfri.gov.tw/mobile/plant.php?rid=567","高"
"鐘麻","真的無法判斷","名稱未能在食藥署作物分類表中對到成員，且現有官方資料不足以確認此登記名稱指涉的物種與收穫部位。","https://data.fda.gov.tw/data/opendata/export/16/json","低"
"山防風","真的無法判斷","農業部資料將其列為藥用作物、利用根部；食藥署作物分類表未明列，不能僅因取根就歸入根莖菜。","https://kmweb.moa.gov.tw/knowledgebase.php?id=20861；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"百合","真的無法判斷","食藥署把百合鱗莖列根莖菜、百合花列食用花卉；未指定施藥與採收部位時有兩種合法分類。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"蓮","真的無法判斷","食藥署分別把蓮子列乾豆、水蓮列小葉菜、蓮藕列根莖菜、蓮花列食用花卉；「蓮」不足以選定其中一類。","https://data.fda.gov.tw/data/opendata/export/16/json","高"
"土肉桂","建議類別：香辛植物及其他草木本植物","農業部資料指出食用部位為葉片，可泡飲或作桂皮、桂粉及食品香料，性質符合香辛植物。","https://kmweb.moa.gov.tw/subject/subject.php?id=37480&print=Y；https://data.fda.gov.tw/data/opendata/export/16/json","中"
"山茶","建議類別：茶類","農業部茶及飲料作物改良場指出臺灣原生山茶用於製作茶品；食藥署茶類涵蓋茶葉。","https://www.tbrs.gov.tw/theme_data.php?id=5254&sub_theme=hot&theme=news；https://data.fda.gov.tw/data/opendata/export/16/json","高"
