藥劑名稱,影響用途數,原分類,對應免訂清單項目,信心,比對方式,人工確認(是/否)
"礦物油",137,"英文有效成分未對到","礦物油","高","完全相同",
"氫氧化銅",58,"英文有效成分未對到","氫氧化銅","高","完全相同",
"鮎澤蘇力菌ABTS-1857",38,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"維利黴素",33,"英文有效成分未對到","維利黴素","高","完全相同",
"斜紋夜蛾費洛蒙",31,"英文有效成分未對到","斜紋夜盜蛾費洛蒙","高","完全相同",
"庫斯蘇力菌ABTS-351",31,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"甜菜夜蛾費洛蒙",28,"英文有效成分未對到","甜菜葉蛾費洛蒙","高","完全相同",
"鮎澤蘇力菌NB-200",27,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"庫斯蘇力菌E-911",18,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"庫斯蘇力菌SA-12",18,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"枯草桿菌Y1336",17,"英文有效成分未對到","枯草桿菌","中","種層級免訂(清單未列舉菌株)",
"庫斯蘇力菌SA-11",14,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"枯草桿菌KHY8",14,"英文有效成分未對到","枯草桿菌","中","種層級免訂(清單未列舉菌株)",
"多保鏈黴素",12,"英文有效成分未對到","鏈黴素","中","種層級免訂(清單未列舉菌株)",
"碳酸氫鉀",11,"英文有效成分未對到","碳酸氫鉀","高","完全相同",
"保粒黴素 丁",5,"英文有效成分未對到","保粒黴素","中","種層級免訂(清單未列舉菌株)",
"萘乙酸鈉",2,"英文有效成分未對到","萘乙酸鈉","高","完全相同",
"鮎澤蘇力菌GC-91",2,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"鮎澤蘇力菌Ab12",2,"英文有效成分未對到","蘇力菌","中","種層級免訂(清單未列舉菌株)",
"液化澱粉芽孢桿菌Ba-BPD1",3,"英文有效成分未對到","(不可視為免訂)","-","該菌種逐菌株列舉,本菌株不在清單:液化澱粉芽孢桿菌D747、液化澱粉芽孢桿菌CL3、液化澱粉芽孢桿菌PMB01、液化澱粉芽孢桿菌QST713、液化澱粉芽孢桿菌Tcba05、液化澱粉芽孢桿菌YCMA1",
"貝萊斯芽孢桿菌 BACY",2,"英文有效成分未對到","(不可視為免訂)","-","該菌種逐菌株列舉,本菌株不在清單:貝萊斯芽孢桿菌BF、貝萊斯芽孢桿菌N17",
"貝萊斯芽孢桿菌WG6-14",1,"英文有效成分未對到","(不可視為免訂)","-","該菌種逐菌株列舉,本菌株不在清單:貝萊斯芽孢桿菌BF、貝萊斯芽孢桿菌N17",
