"類型","App 名稱","使用筆數","詳細資料"
"官方許可證名稱查無","貝萊斯芽孢桿菌BF","147","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌Tcba05","30","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","殺紋依得利","26","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","枯草桿菌KHY8","14","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","銅合硫磺","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","波爾多","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","達滅克絕","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌CL3","5","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","因汀氟滅","4","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","苦參鹼","4","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","小菜蛾性費洛蒙","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","白殭菌A1","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","克蠅香","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌Ba-BPD1","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","硫黃芬胺","2","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","滅芬百速隆","2","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","發光光桿菌0805-P2R","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","賽氟菲克利","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","嘉賜圃","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","果收生長素","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","貝萊斯芽孢桿菌N17","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","待克三元銅","1","尚未解析，不可推論法規狀態"
"英文有效成分未對到","賽洛寧","1042","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","礦物油","137","PETROLEUM OIL"
"英文有效成分未對到","氫氧化銅","58","COPPER HYDROXIDE"
"英文有效成分未對到","鋅錳乃浦","56","MANCOZEB"
"英文有效成分未對到","甲基多保淨","50","THIOPHANATE-METHYL"
"英文有效成分未對到","鮎澤蘇力菌ABTS-1857","38","BACILLUS THURINGIENSIS SUBSP. AIZAWAI STRAIN ABTS-1857"
"英文有效成分未對到","鋅錳座賽胺","33","MANCOZEB"
"英文有效成分未對到","維利黴素","33","VALIDAMYCIN"
"英文有效成分未對到","亞滅寧","33","ALPHA-CYPERMETHRIN"
"英文有效成分未對到","斜紋夜蛾費洛蒙","31","SPODOPTERA LITURA SEX PHEROMONE"
"英文有效成分未對到","庫斯蘇力菌ABTS-351","31","BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN ABTS-351"
"英文有效成分未對到","克熱淨(烷苯磺酸鹽)","31","IMINOCTADINE TRIS(ALBESILATE)"
"英文有效成分未對到","免得爛","29","METIRAM"
"英文有效成分未對到","甜菜夜蛾費洛蒙","28","SEX PHEROMONES OF SPODOPTERA EXIQUA"
