藥劑名稱,影響用途數,證據層級,對應目標,依據,注意事項,人工確認(是/否),修正為
"鋅錳乃浦",56,"法規原文","二硫代胺基甲酸鹽類","註一(群組總量)","",,
"甲基多保淨",50,"法規原文","貝芬替","註二(代謝物)","",,
"亞滅寧",33,"法規原文","賽滅寧","註四之1(異構物總量)","",,
"克熱淨(烷苯磺酸鹽)",31,"法規原文","克熱淨(醋酸鹽或烷苯磺酸鹽)","註三(鹽類)","MRL 另有「克熱淨」對應 GUAZATINE,是不同物質。本規則只涵蓋標明鹽型者",,
"免得爛",29,"法規原文","二硫代胺基甲酸鹽類","註一(群組總量)","",,
"免賴得",26,"法規原文","貝芬替","註二(代謝物)","",,
"錳乃浦",24,"法規原文","二硫代胺基甲酸鹽類","註一(群組總量)","",,
"貝他-賽扶寧",22,"法規原文","賽扶寧","註四之2(異構物總量)","",,
"右滅達樂",13,"法規原文","滅達樂","註四之4(異構物總量)","",,
"甲基鋅乃浦",11,"法規原文","二硫代胺基甲酸鹽類","註一(群組總量)","",,
"得恩地",8,"法規原文","二硫代胺基甲酸鹽類","註一(群組總量)","",,
"左旋莫多草",4,"法規原文","莫多草","註四之5(異構物總量)","",,
"磷化鎂",3,"法規原文","磷化氫","註七(衍生物)","",,
"益化利",2,"法規原文","芬化利","註四之3(異構物總量)","",,
"賽洛寧",1042,"中文通用名","Cyhalothrin","MRL 有 71 個作物類別訂定容許量｜英文寫法不同(許可證 LAMBDA-CYHALOTHRIN / MRL CYHALOTHRIN)","",,
"福化利",20,"中文通用名","Fluvalinate","MRL 有 21 個作物類別訂定容許量｜英文寫法不同(許可證 TAU-FLUVALINATE / MRL FLUVALINATE)","",,
"快伏草",19,"中文通用名","Quizalofop-ethyl","MRL 有 20 個作物類別訂定容許量｜英文寫法不同(許可證 QUIZALOFOP-P-ETHYL / MRL QUIZALOFOP-ETHYL)","",,
"克熱淨",10,"中文通用名","Guazatine","MRL 有 1 個作物類別訂定容許量｜英文寫法不同(許可證 IMINOCTADINE TRIACETATE / MRL GUAZATINE)","MRL 另有「克熱淨(醋酸鹽或烷苯磺酸鹽)」,兩者是不同物質,不可只憑中文名對應",,
"本達隆",3,"中文通用名","Bentazone","MRL 有 7 個作物類別訂定容許量｜英文寫法不同(許可證 BENTAZON / MRL BENTAZONE)","",,
"克美素",3,"中文通用名","Chlormequat","MRL 有 11 個作物類別訂定容許量｜英文寫法不同(許可證 CHLORMEQUAT CHLORIDE / MRL CHLORMEQUAT)","",,
"氟氯比",2,"中文通用名","Fluroxypyr","MRL 有 1 個作物類別訂定容許量｜英文寫法不同(許可證 FLUROXYPYR-MEPTYL / MRL FLUROXYPYR)","",,
"艾維激素",2,"中文通用名","Aminoethoxyvinyl- glycine","MRL 有 5 個作物類別訂定容許量｜英文寫法不同(許可證 AMINOETHOXYVINYLGLYCINE HYDROCHLORIDE / MRL AMINOETHOXYVINYL- GLYCINE)","",,
