藥劑名稱,影響用途數,併入目標,規則類型,法規依據,注意事項
"鋅錳乃浦",56,"二硫代胺基甲酸鹽類","群組總量","註一",""
"甲基多保淨",50,"貝芬替","代謝物","註二",""
"亞滅寧",33,"賽滅寧","異構物總量","註四之1",""
"克熱淨(烷苯磺酸鹽)",31,"克熱淨(醋酸鹽或烷苯磺酸鹽)","鹽類","註三","MRL 另有「克熱淨」對應 GUAZATINE,是不同物質。本規則只涵蓋標明鹽型者"
"免得爛",29,"二硫代胺基甲酸鹽類","群組總量","註一",""
"免賴得",26,"貝芬替","代謝物","註二",""
"錳乃浦",24,"二硫代胺基甲酸鹽類","群組總量","註一",""
"貝他-賽扶寧",22,"賽扶寧","異構物總量","註四之2",""
"右滅達樂",13,"滅達樂","異構物總量","註四之4",""
"甲基鋅乃浦",11,"二硫代胺基甲酸鹽類","群組總量","註一",""
"得恩地",8,"二硫代胺基甲酸鹽類","群組總量","註一",""
"左旋莫多草",4,"莫多草","異構物總量","註四之5",""
"磷化鎂",3,"磷化氫","衍生物","註七",""
"益化利",2,"芬化利","異構物總量","註四之3",""
