藥劑名稱,影響用途數,成分,對應目標,來源,整筆是否全數涵蓋,人工確認(是/否)
"鋅錳座賽胺",33,"座賽胺","座賽胺","MRL 有訂容許量","否",
"鋅錳座賽胺",33,"鋅錳","鋅錳乃浦","前綴候選,需擇一","否",
"銅右滅達樂",24,"右滅達樂","滅達樂","法規群組","否",
"銅右滅達樂",24,"銅","銅合浦","前綴候選,需擇一","否",
"鋅錳克絕",24,"克絕","克絕","MRL 有訂容許量","否",
"鋅錳克絕",24,"鋅錳","鋅錳乃浦","前綴候選,需擇一","否",
"鋅錳滅達樂",10,"滅達樂","滅達樂","MRL 有訂容許量","否",
"鋅錳滅達樂",10,"鋅錳","鋅錳乃浦","前綴候選,需擇一","否",
"撲克拉錳",9,"撲克拉","撲克拉","MRL 有訂容許量","否",
"撲克拉錳",9,"錳","錳乃浦","前綴候選,需擇一","否",
"銅合硫磺",8,"sulfur","可濕性硫黃","免訂容許量","是",
"銅合硫磺",8,"copper oxychloride","鹼性氯氧化銅","免訂容許量","是",
"本達亞喜芬",8,"亞喜芬","亞喜芬","MRL 有訂容許量","否",
"本達亞喜芬",8,"本達","本達樂 / 本達隆","前綴候選,需擇一","否",
"福賽亞汰尼",8,"亞汰尼","亞汰尼","MRL 有訂容許量","否",
"福賽亞汰尼",8,"福賽","福賽得 / 福賽絕","前綴候選,需擇一","否",
"嘉磷塞 (胺鹽 )",5,"嘉磷塞","嘉磷塞","MRL 有訂容許量","否",
"嘉磷塞 (胺鹽 )",5," (胺鹽 )","","查無","否",
"銅快得寧",4,"快得寧","快得寧","MRL 有訂容許量","否",
"銅快得寧",4,"銅","銅合浦","前綴候選,需擇一","否",
"硫酸快得寧",3,"快得寧","快得寧","MRL 有訂容許量","否",
"硫酸快得寧",3,"硫酸","硫酸銅","前綴候選,需擇一","否",
"四氯右滅達樂",2,"右滅達樂","滅達樂","法規群組","否",
"四氯右滅達樂",2,"四氯","四氯異苯?","前綴候選,需擇一","否",
"保粒快得寧",2,"快得寧","快得寧","MRL 有訂容許量","否",
"保粒快得寧",2,"保粒","保粒黴素","前綴候選,需擇一","否",
"克絕波爾多",2,"克絕","克絕","MRL 有訂容許量","否",
"克絕波爾多",2,"波爾多","","查無","否",
"本達快克草",1,"快克草","快克草","MRL 有訂容許量","否",
"本達快克草",1,"本達","本達樂 / 本達隆","前綴候選,需擇一","否",
"汰硫免速隆",1,"免速隆","免速隆","MRL 有訂容許量","否",
"汰硫免速隆",1,"汰硫","汰硫草","前綴候選,需擇一","否",
"滅芬免速隆",1,"免速隆","免速隆","MRL 有訂容許量","否",
"滅芬免速隆",1,"滅芬","滅芬草 / 滅芬座 / 滅芬諾 / 滅芬農","前綴候選,需擇一","否",
"銅合腐絕",1,"腐絕","腐絕","MRL 有訂容許量","否",
"銅合腐絕",1,"銅合","銅合浦","前綴候選,需擇一","否",
"傑他賽滅寧",1,"賽滅寧","賽滅寧","MRL 有訂容許量","否",
"傑他賽滅寧",1,"傑他","","查無","否",
"畢克草",1,"克草","克草","MRL 有訂容許量","否",
"畢克草",1,"畢","畢芬寧 / 畢達本 / 畢汰芬","前綴候選,需擇一","否",
"伽瑪賽洛寧",1,"賽洛寧","賽洛寧","MRL 有訂容許量","否",
"伽瑪賽洛寧",1,"伽瑪","","查無","否",
"鋅錳右本達樂",1,"本達樂","本達樂","MRL 有訂容許量","否",
"鋅錳右本達樂",1,"鋅錳右","","查無","否",
"鋅錳本達樂",1,"本達樂","本達樂","MRL 有訂容許量","否",
"鋅錳本達樂",1,"鋅錳","鋅錳乃浦","前綴候選,需擇一","否",
"鋅錳曼普胺",1,"曼普胺","曼普胺","MRL 有訂容許量","否",
"鋅錳曼普胺",1,"鋅錳","鋅錳乃浦","前綴候選,需擇一","否",
"左固殺草",1,"固殺草","固殺草","MRL 有訂容許量","否",
"左固殺草",1,"左","左旋莫多草","前綴候選,需擇一","否",
