"藥名","查得英文名(原樣照抄)","許可證號","查詢頁網址"
"賽速洛寧","LAMBDA-CYHALOTHRIN + THIAMETHOXAM","農藥進字第02745號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I250"
"賽洛安勃","LAMBDA-CYHALOTHRIN + CHLORANTRANILIPROLE","農藥進字第02799號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I259"
"免得克敏","METIRAM+PYRACLOSTROBIN","農藥進字第03304號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F310"
"益洛寧","LAMBDA-CYHALOTHRIN + PHOSMET","農藥製字第04893號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I236"
"波爾多","bordeaux mixture","農藥進字第02172號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F186"
"克凡洛寧","CHLORFENAPYR + LAMBDA-CYHALOTHRIN","農藥製字第05565號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I263"
"快得保淨","THIOPHANATE-METHYL + OXINE-COPPER","農藥進字第00830號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F060"
"鹼氯氫氧銅","COPPER OXYCHLORIDE + COPPER HYDROXIDE","農藥進字第02849號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F298"
"邁隆","DAZOMET","農藥進字第00916號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F176"
"移植生長素","NAD","農藥進字第00552號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=P025"
"克蠅香","4-(p-acetoxyphenyl)-2-butanone + methyl eugenol","農藥製字第00785號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I063"
"四氯保淨","THIOPHANATE-METHYL + CHLOROTHALONIL","農藥進字第00703號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F023"
"四氯賽得","CHLOROTHALONIL + FOSETYL AL","農藥製字第03446號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F025"
"氟比賽得","FOSETYL-ALUMINIUM + FLUOPICOLIDE","農藥進字第03237號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F316"
"硫黃芬胺","cyflufenamid＋sulfur","農藥製字第06533號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F329"
"納得亞滅寧","METHOMYL + ALPHA-CYPERMETHRIN","農藥製字第04079號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I102"
"克熱賜圃","IMINOCTADINE TRIACETATE + ISOPROTHIOLANE","農藥進字第02317號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F263"
"福芬素","FORCHLORFENURON","農藥進字第01474號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=P034"
"保粒保淨","POLYOXINS + THIOPHANATE-METHYL","農藥製字第04409號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F219"
"甲鋅保粒素","PROPINEB + POLYOXIN B","農藥製字第04264號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F208"
"果收生長素","o-nitrophenolate + Sodium p-nitrophenolate","農藥製字第01882號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=P009"
"伏滅鼠","FLOCOUMAFEN","農藥進字第01752號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=R004"
"可滅鼠","BRODIFACOUM","農藥製字第03537號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=R002"
"含毒甲基丁香油","METHYL EUGENOL-NALED","農藥製字第04217號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I064"
"布芬益化利","BUPROFEZIN + ESFENVALERATE","農藥製字第04251號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=I035"
"耐克螺","NICLOSAMIDE","農藥進字第02380號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=M002"
"丁拉汰草","DAIMURON + BUTACHLOR","農藥製字第00436號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=H004"
"甲鋅保淨","PROPINEB + THIOPHANATE-METHYL","農藥製字第04314號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F210"
"賽福保淨","TRIFLUMIZOLE + THIOPHANATE-METHYL","農藥製字第04336號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=F211"
"二、四－地胺鹽","2,4-D(AMINE)","農藥進字第01606號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=H015"
"二、四－地鈉鹽","2,4-D(SODIUM)","農藥進字第00563號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=H016"
"生長寧素","IBA + NAA + KINETIN","農藥進字第02822號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=P042"
"普拔草","PROPAQUIZAFOP","農藥進字第01554號","https://pesticide.aphia.gov.tw/information/Query/Register/?pestcd=H151"
