中文名,農藥代號,分類,類別,許可證張數,有效張數,化學成分,免訂清單有,MRL有,人工判定
"果收生長素","P009","植物生長調節劑","混合劑",19,15,"sodium-o-nitrophenol","","",
"波爾多","F186","殺菌劑","銅劑",5,5,"Bordeaux mixture","","",
"克蠅香","I063","殺蟲劑","引誘劑",6,3,"4-(p-acetoxyphenyl)-2-butanone","","",
"克蠅香","I063","殺蟲劑","引誘劑",6,3,"methyl eugenol","","",
"甜菜夜蛾費洛蒙甲","I211","殺蟲劑","費洛蒙",1,1,"Z-9-TETRADECENOL","","",
"銅合硫磺","F200","殺菌劑","混合劑",1,1,"sulfur","是","",
"銅合硫磺","F200","殺菌劑","混合劑",1,1,"copper oxychloride","是","",
"小菜蛾性費洛蒙","I269","殺蟲劑","費洛蒙",1,1,"(Z)-11-hexadecenal","","",
"小菜蛾性費洛蒙","I269","殺蟲劑","費洛蒙",1,1,"(Z)-11-hexadecenyl acetate","","",
"小菜蛾性費洛蒙","I269","殺蟲劑","費洛蒙",1,1,"(Z)-11-hexadecenol","","",
"(中文名亦空白)","I091","","",17,0,"(化學成分亦為空)","","",
"巴拉刈硫酸鹽","H027","除草劑","其它",5,0,"1,1’-DIMETHYL-4-4’-BIPYRIDYLUM","","",
"巴拉刈硫酸鹽","H027","除草劑","其它",5,0,"DIMETHYL SULFATE","","",
"甲基砷酸鐵","F031","殺菌劑","砷劑",5,0,"FERRIC METHYL ARSONATE","","",
"亞納銅","F069","殺菌劑","銅劑",2,0,"NONYLPHENOL COPPER SULFONATE","","",
"嘉賜米松   １","F125","殺菌劑","混合劑",1,0,"O-ETHYL-O, O-DI(2, 4-DICHLOROPHENYL) PHOSPHATE","","",
"能死蟎","A023","殺蟎劑","有機氟",23,0,"N-METHYL-N-(1-NAPHTHYL) MONOFLUOROACETAMIDE","","",
"鎳乃浦","F177","殺菌劑","硫磺劑",6,0,"NICKEL DIMETHYLDITHIOCARBAMATE","","",
"治芽素","P016","植物生長調節劑","脂肪醇",1,0,"FATTY ALCOHOLS (C6-C12)","是","",
"果收生長素   ４","P013","植物生長調節劑","植物生長調節劑",1,0,"SODIUM-5-NITROGUAIACOL","","",
"殺蟎多","A028","殺蟎劑","硫磺及雜環化合物",4,0,"2-[2-(P-TERT-BUTYLPHENOXY) ISOPROXYL]","","",
"殺蟎多","A028","殺蟎劑","硫磺及雜環化合物",4,0,"ISOPROPYL-2-CHLOROETHYLSULFITE","","",
"克蠅","I062","殺蟲劑","引誘劑",1,0,"4-(P-ACETOXYPHENYL)-2-BUTANONE","","",
"鋅錳波爾多","F167","殺菌劑","混合劑",1,0,"BASIC COPPER SULPHATE","","",
"鋅錳波爾多","F167","殺菌劑","混合劑",1,0,"(CU","","",
"鋅錳波爾多","F167","殺菌劑","混合劑",1,0,"POLYMERIC MANGANESE ETHYLENE BISDITHIOCARBAMATE","","",
"鋅錳波爾多","F167","殺菌劑","混合劑",1,0,"ZINC ETHYLENEBISDITHIOCARBAMATE","","",
"碳酸鈣","P045","植物生長調節劑","植物生長調節劑",1,0,"CALCIUM CARBONATE","是","",
"愛速隆","H108","除草劑","尿素系",1,0,"1-(5-TERT-BUTYLISOXAZOL-3-YL)-3,3-DIMETHYLUREA","","",
"番茄美素","P029","植物生長調節劑","苯氧酸系",1,0,"(SODIUM-4-CHLORO-2-HYDROXYMETHYL)-PHENOXYACETATE","","",
"益穗","F094","殺菌劑","砷劑",1,0,"TETRAMETHYL THIURAMDISULFIDE","","",
"益穗","F094","殺菌劑","砷劑",1,0,"ZINC  DIMETHYLDITHIOCARBAMATE","","",
"益穗","F094","殺菌劑","砷劑",1,0,"BIS (DIMETHYLTHIO-CARBAMOYLTHIO) METHYLARSINE","","",
"可力松","F020","殺菌劑","有機磷",2,0,"O-BUTYL-S-BENZYL-S-ETHYLPHOSPHORODITHIOATE","","",
"鐵鋅錳乃浦","F185","殺菌劑","混合劑",1,0,"ETHYLENE-1, 2-BISDITHIOCARBAMATE ION","","",
"鐵鋅錳乃浦","F185","殺菌劑","混合劑",1,0,"DIMETHYLDITHIOCARBAMATE IONS","","",
"鐵鋅錳乃浦","F185","殺菌劑","混合劑",1,0,"MANGANESE IONS","","",
"鐵鋅錳乃浦","F185","殺菌劑","混合劑",1,0,"ZINC IONS","","",
"鐵鋅錳乃浦","F185","殺菌劑","混合劑",1,0,"FERRIC IONS","","",
"醋錫殺滅丹","X002","混合分類","殺菌殺草劑",1,0,"S-(4-CHLOROBENZYL)-N, N-DIETHYLTHIOCARBAMATE","","",
"醋錫殺滅丹","X002","混合分類","殺菌殺草劑",1,0,"2, 4, 6-TRICLOROPHENYL-4-NITROPHENYLETHER","","",
"醋錫殺滅丹","X002","混合分類","殺菌殺草劑",1,0,"TRIPHENYLTIN ACETATE","","",
"能殺蟎","A038","殺蟎劑","混合劑",2,0,"N-METHYL-N-(1-NAPHTHYL) MONOFLUOROACETAMIDE","","",
"能殺蟎","A038","殺蟎劑","混合劑",2,0,"ISOPROPYL-4,4-DIBROMOBE NZILATE","","",
"核胺光動素","F209","殺菌劑","其它",1,0,"7,8-DIMETHYL-10-(D-RIBO-2,3,4,5-TETRAHYDROXYPENTYL)ISDAL-","","",
"核胺光動素","F209","殺菌劑","其它",1,0,"OXAZINE…","","",
"核胺光動素","F209","殺菌劑","其它",1,0,"DL-α  -AMINO-γ  -NETHYLTHIOBUTYRIC ACID…","","",
"核胺光動素","F209","殺菌劑","其它",1,0,"COPPER SULPHATE…","","",
