"作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"十字花科小葉菜類","快得克絕","1","OXINE-COPPER=不得檢出候選(標準有此成分(15 列),但本作物/分類/通用列皆查無) | CYMOXANIL=有容許量(十字花科小葉菜類 1ppm)","MRL 同名+小葉菜類","",""
"十字花科小葉菜類","依殺松","1","ISAZOFOS=不得檢出候選(標準有此成分(1 列),但本作物/分類/通用列皆查無)","MRL 同名+小葉菜類","",""
"十字花科小葉菜類","殺紋依得利","1","ETRIDIAZOLE=有容許量(小葉菜類 0.5ppm) | HYMEXAZOL=不得檢出候選(標準有此成分(43 列),但本作物/分類/通用列皆查無)","MRL 同名+小葉菜類","",""
"十字花科包葉菜類","快得克絕","1","OXINE-COPPER=不得檢出候選(標準有此成分(15 列),但本作物/分類/通用列皆查無) | CYMOXANIL=有容許量(包葉菜類 1ppm)","MRL 同名+包葉菜類","",""
"十字花科根菜類","白克松","3","PYRACLOFOS=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","托福松","1","TERBUFOS=不得檢出候選(標準有此成分(12 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","免扶克","1","BENFURACARB=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","汰芬隆","4","DIAFENTHIURON=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","依殺松","1","ISAZOFOS=不得檢出候選(標準有此成分(1 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","鋅錳座賽胺","1","MANCOZEB=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | ZOXAMIDE=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科根菜類","賽滅松","2","PHENTHOATE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*) | DIMETHOATE=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"十字花科乾豆類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","乾豆類","",""
"大豆","畢達本","1","PYRIDABEN=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","MRL 同名+乾豆類","",""
"大豆","賽安勃","2","CYANTRANILIPROLE=不得檢出候選(標準有此成分(51 列),但本作物/分類/通用列皆查無)","MRL 同名+乾豆類","",""
"小麥","納乃得","1","METHOMYL=不得檢出候選(標準有此成分(22 列),但本作物/分類/通用列皆查無)","MRL 同名+麥類","",""
