"筆次","作物","藥劑","殘留初判","有效證(待查)","人工複核"
"51","洋蔥","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"52","胡瓜","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"53","胡麻","可芬諾","CHROMAFENOZIDE=查無","",""
"54","胡麻","得克芬胺","TEBUCONAZOLE=有標準；CYFLUFENAMID=查無","",""
"55","胡麻","覆滅蟎","FORMETANATE=查無","",""
"56","茄科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"57","茄科果菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"58","茄科果菜類","安美速","AMISULBROM=查無","",""
"59","茄科果菜類","氟速芬","FLUENSULFONE=查無","",""
"60","茄科果菜類","賜滅芬","SPIROMESIFEN=查無","",""
"62","茶","快得寧","OXINE-COPPER=查無","",""
"63","婆羅門參","殺紋依得利","ETRIDIAZOLE=有標準；HYMEXAZOL=查無","",""
"64","旋花科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"65","旋花科根菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"68","甜椒","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"69","棉","覆滅蟎","FORMETANATE=查無","",""
"70","番茄","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"71","菊科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"72","菊科包葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"73","菊科根菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"74","菊科根菜類","免扶克","BENFURACARB=查無","",""
"75","菊科根菜類","畢達本","PYRIDABEN=查無","",""
"76","菊科乾豆類","可芬諾","CHROMAFENOZIDE=查無","",""
"77","黑婆羅門參","鋅錳座賽胺","MANCOZEB=有標準；ZOXAMIDE=查無","",""
"79","葫蘆科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"80","鼠李科梨果類","克熱淨","IMINOCTADINE TRIACETATE=查無","",""
"81","蓮霧","嘉賜快得寧","KASUGAMYCIN=查無；OXINE-COPPER=有標準","",""
"82","蓮霧","嘉賜貝芬","KASUGAMYCIN=查無；CARBENDAZIM=查無","",""
"83","蓮霧","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"84","蔥科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"85","蔥科小葉菜類","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"86","蔥科根菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"87","蔥科根菜類","免扶克","BENFURACARB=查無","",""
"88","蔥科根菜類","嘉賜銅","KASUGAMYCIN=查無；COPPER OXYCHLORIDE=免訂","",""
"89","豌豆","培丹","CARTAP=查無","",""
"90","豌豆","脫克松","TOLCLOFOS-METHYL=查無","",""
"91","樹薯","畢達本","PYRIDABEN=查無","",""
"92","薄荷","納乃得","METHOMYL=查無","",""
"93","薏苡","培丹","CARTAP=查無","",""
"94","藜科小葉菜類","可芬諾","CHROMAFENOZIDE=查無","",""
"95","藜科根菜類","可芬諾","CHROMAFENOZIDE=查無","",""
