"原因","作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"近似作物名","十字花科小葉菜類","白列克敏","1","PYRACLOSTROBIN=近似作物名待確認(標準有近似名:其他十字花科小葉菜類(芥菜除外)) | BOSCALID=有容許量(十字花科小葉菜類 4ppm)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","因汀氟滅","2","EMAMECTIN BENZOATE=有容許量(小葉菜類 0.05ppm) | FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","因得克","1","INDOXACARB=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"近似作物名","十字花科小葉菜類","百克敏","1","PYRACLOSTROBIN=近似作物名待確認(標準有近似名:其他十字花科小葉菜類(芥菜除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","克凡派","3","CHLORFENAPYR=通用列待確認(標準有通用列:其他瓜果類(洋香瓜除外)、其他小葉菜類(韭菜、茼蒿、菠菜、葉用豌豆除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","克福隆","1","CHLORFLUAZURON=通用列待確認(標準有通用列:其他小葉菜類(菠菜除外)、其他包葉菜類(結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","亞托敏","1","AZOXYSTROBIN=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、芹菜、青蔥、蒜及茼蒿除外)、其他小漿果類(藍莓、覆盆子除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他果菜類(枸杞、茄子、甜椒、番茄、辣椒除外)、其他根莖菜類(芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍除外)、其他草木本植物(火龍果花、菊花除外)、其他堅果類(杏仁、開心果除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","阿巴汀","2","ABAMECTIN=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","阿巴安勃","7","ABAMECTIN=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*) | CHLORANTRANILIPROLE=有容許量(十字花科小葉菜類 3ppm)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","氟大滅","6","FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","美氟綜","1","METAFLUMIZONE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
