中文通用名,許可證英文名,MRL英文名,英文是否相同,風險,說明,人工確認(是/否)
"撲殺熱","PROBENAZOLE","PROBENAZOLE","是","","英文亦相同",
"加保利","CARBARYL","CARBARYL","是","","英文亦相同",
"護粒松","EDIFENPHOS","EDIFENPHOS","是","","英文亦相同",
"托福松","TERBUFOS","TERBUFOS","是","","英文亦相同",
"達馬松","METHAMIDOPHOS","METHAMIDOPHOS","是","","英文亦相同",
"加保扶","CARBOFURAN","CARBOFURAN","是","","英文亦相同",
"丁基拉草","BUTACHLOR","BUTACHLOR","是","","英文亦相同",
"必芬松","PYRIDAPHENTHION","PYRIDAPHENTHION","是","","英文亦相同",
"安丹","PROPOXUR","PROPOXUR","是","","英文亦相同",
"滅必蝨","ISOPROCARB","ISOPROCARB","是","","英文亦相同",
"納乃得","METHOMYL","METHOMYL","是","","英文亦相同",
"本達隆","BENTAZON","BENTAZONE","否","","英文不同,但主管機關以同一中文通用名指稱",
"丁基滅必蝨","FENOBUCARB","FENOBUCARB","是","","英文亦相同",
"抑芽素","MALEIC HYDRAZIDE,MH","MALEIC HYDRAZIDE","否","","英文不同,但主管機關以同一中文通用名指稱",
"亞特松","PIRMIPHOS-METHYL","PIRIMIPHOS-METHYL","否","","英文不同,但主管機關以同一中文通用名指稱",
"芬佈賜","FENBUTATIN-OXIDE","FENBUTATIN-OXIDE","是","","英文亦相同",
"三氯松","TRICHLORFON","TRICHLORFON","是","","英文亦相同",
"快得寧","OXINE-COPPER","OXINE-COPPER","是","","英文亦相同",
"撲滅松","FENITROTHION","FENITROTHION","是","","英文亦相同",
"拉草","ALACHLOR","ALACHLOR","是","","英文亦相同",
"達有龍","DIURON","DIURON","是","","英文亦相同",
"巴拉刈","PARAQUAT","PARAQUAT","是","","英文亦相同",
"芬化利","FENVALERATE","FENVALERATE","是","","英文亦相同",
"甲基巴拉松","METHYL-PARATHION","PARATHION-METHYL","否","","英文不同,但主管機關以同一中文通用名指稱",
"貝芬替","CARBENDAZIM","CARBENDAZIM","是","","英文亦相同",
"草滅淨","SIMAZINE","SIMAZINE","是","","英文亦相同",
"乃力松","NALED","NALED","是","","英文亦相同",
"大滅松","DIMETHOATE","DIMETHOATE","是","","英文亦相同",
"氰乃松","CYANOPHOS","CYANOPHOS","是","","英文亦相同",
"依普同","IPRODIONE","IPRODIONE","是","","英文亦相同",
"培丹","CARTAP","CARTAP","是","","英文亦相同",
"毆殺松","ACEPHATE","ACEPHATE","是","","英文亦相同",
"克絕","CYMOXANIL","CYMOXANIL","是","","英文亦相同",
"歐滅松","OMETHOATE","OMETHOATE","是","","英文亦相同",
"賽滅寧","CYPERMETHRIN","CYPERMETHRIN","是","","英文亦相同",
"百滅寧","PERMETHRIN","PERMETHRIN","是","","英文亦相同",
"亞賜圃","ISOPROTHIOLANE","ISOPROTHIOLANE","是","","英文亦相同",
"樂滅草","OXADIAZON","OXADIAZON","是","","英文亦相同",
"三泰芬","TRIADIMEFON","TRIADIMEFON","是","","英文亦相同",
"愛殺松","ETHION","ETHION","是","","英文亦相同",
"比多農","BITERTANOL","BITERTANOL","是","","英文亦相同",
"福瑞松","PHORATE","PHORATE","是","","英文亦相同",
"免克寧","VINCLOZOLIN","VINCLOZOLIN","是","","英文亦相同",
"加撲草","KAYAETHYL","MCPB","否","","英文不同,但主管機關以同一中文通用名指稱",
"芬殺松","FENTHION","FENTHION","是","","英文亦相同",
"馬拉松","MALATHION","MALATHION","是","","英文亦相同",
"免敵克","BENDIOCARB","BENDIOCARB","是","","英文亦相同",
"滅普寧","MEPRONIL","MEPRONIL","是","","英文亦相同",
"丙基喜樂松","IPROBENFOS","IPROBENFOS","是","","英文亦相同",
"滅多松","OXYDEMETON METHYL","OXYDEMETON METHYL","是","","英文亦相同",
"嘉賜黴素","KASUGAMYCIN","KASUGAMYCIN","是","","英文亦相同",
"熱必斯","PHTHALIDE","FTHALIDE","否","","英文不同,但主管機關以同一中文通用名指稱",
"草殺淨","AMETRYN","AMETRYN","是","","英文亦相同",
"聚乙醛","METALDEHYDE","METALDEHYDE","是","","英文亦相同",
"撲滅寧","PROCYMIDONE","PROCYMIDONE","是","","英文亦相同",
"大利松","DIAZINON","DIAZINON","是","","英文亦相同",
"賽達松","PHENTHOATE","PHENTHOATE","是","","英文亦相同",
