筆次,作物,藥劑,判定,確認層級,依據,用途限制
15,小麥,納乃得,確認,人工已確認,Methomyl無小麥/麥類/穀類通用列,僅供後端複核；未接入App
16,木瓜,嘉賜銅,確認,人工已確認,Copper oxychloride免訂;Kasugamycin無木瓜/大漿果類,僅供後端複核；未接入App
18,水稻,聚乙醛,確認,人工已確認,"Metaldehyde僅火龍果0.07,無水稻/米類",僅供後端複核；未接入App
19,仙草,納乃得,確認,人工已確認,"Methomyl無仙草,無可涵蓋群組",僅供後端複核；未接入App
20,仙草,畢達本,確認,人工已確認,Pyridaben無仙草,僅供後端複核；未接入App
29,瓜菜類,嘉賜銅,確認,人工已確認,Copper免訂;Kasugamycin無瓜菜類及成員,僅供後端複核；未接入App
32,甘藍,嘉賜銅,確認,人工已確認,Copper免訂;Kasugamycin無甘藍/十字花科包葉菜類,僅供後端複核；未接入App
39,艾草,納乃得,確認,人工已確認,Methomyl無艾草/香辛植物類,僅供後端複核；未接入App
51,洋蔥,嘉賜銅,確認,人工已確認,Kasugamycin洋蔥查無;Copper免訂,僅供後端複核；未接入App
52,胡瓜,嘉賜銅,確認,人工已確認,Kasugamycin胡瓜查無;Copper免訂,僅供後端複核；未接入App
62,茶,快得寧,確認,人工已確認,Oxine-copper茶查無,僅供後端複核；未接入App
81,蓮霧,嘉賜快得寧,確認,人工已確認,Kasugamycin蓮霧查無,僅供後端複核；未接入App
82,蓮霧,嘉賜貝芬,確認,人工已確認,Kasugamycin於蓮霧/小漿果類查無，已足以成立混合劑缺口；Carbendazim另有其他小漿果類通用列，不能寫成兩成分皆查無,僅供後端複核；未接入App
83,蓮霧,嘉賜銅,確認,人工已確認,Kasugamycin蓮霧查無;Copper免訂,僅供後端複核；未接入App
87,蔥科根菜類,免扶克,確認,人工已確認,"Benfuracarb僅小葉菜類/包葉菜類/米類/柑桔類/蓮霧5列,洋蔥/蕗蕎/蒜全無",僅供後端複核；未接入App
89,豌豆,培丹,確認,人工已確認,Cartap豌豆查無,僅供後端複核；未接入App
90,豌豆,脫克松,確認,人工已確認,Tolclofos-methyl豌豆查無,僅供後端複核；未接入App
