筆次,作物,藥劑,傾向判定,狀態,待辦
1,十字花科小葉菜類,快得克絕,誤判,待人工簽核,Oxine-copper於十字花科蔬菜(小葉菜類)2 ppm；Cymoxanil於十字花科小葉菜類1 ppm，兩成分皆有適用標準
2,十字花科小葉菜類,依殺松,確認,待人工簽核,依殺松有效產品及十字花科小葉菜類使用範圍存在；Isazofos僅列包葉菜類0.01 ppm，未列小葉菜類且不在免訂清單
3,十字花科小葉菜類,殺紋依得利,誤判,待人工簽核,Etridiazole有小葉菜類0.5 ppm；Hymexazol已逐項涵蓋官方新增使用範圍的十字花科小葉菜，防檢署並載明已公告相對應MRL
4,十字花科包葉菜類,快得克絕,誤判,待人工簽核,Oxine-copper於十字花科蔬菜(包葉菜類)2 ppm；Cymoxanil於包葉菜類1 ppm，兩成分皆有適用標準
5,十字花科根菜類,白克松,確認,待人工簽核,舊底稿所稱無有效證已過時；現行快照有農藥製03772有效產品，十字花科根菜類使用範圍存在，而Pyraclofos僅列小葉、包葉、瓜菜、豆菜及果菜類各0.5 ppm
6,十字花科根菜類,托福松,確認,待人工簽核,托福松有效產品及十字花科根菜類切根蟲使用範圍存在；Terbufos未列蘿蔔、蕪菁、山葵或根莖菜類，甜菜根0.02 ppm不可外推
7,十字花科根菜類,免扶克,確認,待人工簽核,免扶克有效產品及十字花科根菜類使用範圍存在；Benfuracarb僅列小葉菜、包葉菜、米、柑桔及蓮霧，未涵蓋蘿蔔、蕪菁、山葵
8,十字花科根菜類,汰芬隆,確認,待人工簽核,汰芬隆有效產品及十字花科根菜類使用範圍存在；Diafenthiuron僅列小葉菜、包葉菜、柑桔、茶及梨果類，未涵蓋蘿蔔、蕪菁、山葵
9,十字花科根菜類,依殺松,確認,待人工簽核,依殺松有效產品及十字花科根菜類使用範圍存在；Isazofos僅列包葉菜類0.01 ppm，未涵蓋蘿蔔、蕪菁、山葵
10,十字花科根菜類,鋅錳座賽胺,存疑,待食藥署回覆,Zoxamide僅蘿蔔0.02 ppm，蕪菁與山葵未列；但Mancozeb之殘留物定義／法規對應尚未取得主管機關確認，混合劑不可先定案
21,瓜果類,安美速,誤判,待人工簽核,西瓜/香瓜/洋香瓜Amisulbrom 0.2 ppm全覆蓋；但原人工備註誤寫為「畢達本×仙草」，須就本筆重新簽核
24,瓜果類,殺紋依得利,誤判,待人工簽核,Etridiazole於西瓜/香瓜/洋香瓜0.5 ppm；Hymexazol瓜果類0.5 ppm；但原人工備註僅寫「依得利×瓜果類」，未完整對應本混合劑
25,瓜果類,脫克松,部分確認,待人工簽核,Tolclofos-methyl於洋香瓜0.1 ppm；西瓜、香瓜未列，應拆分；原人工備註誤寫為「依得利×瓜果類」
26,瓜果類,賽福芬胺,誤判,待人工簽核,Cyflufenamid於西瓜/香瓜/洋香瓜0.07 ppm；Triflumizole瓜果類1.0 ppm；原人工備註誤寫為「依得利×瓜果類」
41,豆科根菜類,可芬諾,誤判,待確認,PDF延伸5.1:豆薯/闊葉大豆根/狗尾草根 Chromafenozide均0.05→傾向誤判(黃耆等成員待確認)
42,豆科根菜類,畢達本,確認,待確認,PDF:Pyridaben於豆薯/闊葉大豆根/狗尾草根均無→傾向確認
43,豆科根菜類,鋅錳座賽胺,確認,待確認,Mancozeb(二硫代)豆科根無→傾向確認(混合劑一成分無即成立)
44,豆科乾豆類,覆滅蟎,部分確認,待確認,"Formetanate部分乾豆0.1;蠶豆/豌豆/菜豆/鷹嘴豆/落花生無→部分,成員範圍待確認"
47,玫瑰,快得保淨,存疑,待確認,玫瑰食用性未定;Thiophanate-methyl附表一0列(待官方查證);Oxine-copper非免訂
48,玫瑰,納乃得,存疑,待確認,玫瑰食用性未定;Methomyl有百合/菊花無玫瑰
72,菊科包葉菜類,可芬諾,誤判,待確認成員,推定成員結球萵苣有;待農業部作物分類確認
73,菊科根菜類,可芬諾,誤判,待確認成員,"推定成員牛蒡有;惟婆羅門參亦屬菊科根,待確認"
74,菊科根菜類,免扶克,確認,待確認成員,Benfuracarb牛蒡查無(成員待確認)
75,菊科根菜類,畢達本,確認,待確認成員,Pyridaben牛蒡查無(成員待確認)
76,菊科乾豆類,可芬諾,部分確認,待確認成員,葵花籽有向日葵無(成員待確認)
79,葫蘆科小葉菜類,可芬諾,誤判,待確認成員,推定成員龍鬚菜有;待確認
80,鼠李科梨果類,克熱淨,部分確認,待確認成員,印度棗有台灣蜜棗無(成員待確認)
86,蔥科根菜類,可芬諾,誤判,待人工簽核,Chromafenozide於洋蔥、蕗蕎、蒜均有標準，傾向誤判；但原人工備註誤寫成「可芬諾×蔥科小葉菜類」，須就本筆重新簽核
91,樹薯,畢達本,確認,待人工簽核,Pyridaben於樹薯查無，傾向確認；但原人工備註誤寫成「培丹×薏苡」，未實際簽核本筆
92,薄荷,納乃得,確認,待人工簽核,Methomyl於薄荷查無，傾向確認；但原人工備註誤寫成「培丹×薏苡」，未實際簽核本筆
