筆次,作物,藥劑,現行判定,疑義說明
14,大豆,賽安勃,確認,附表一無大豆(僅毛豆1.0);人工認為應確認;待查登記是否限毛豆
35,甘藷,免扶克,誤判,"人工修正:葉用甘藷=小葉菜類,Benfuracarb於小葉菜類有→誤判"
36,甘藷,汰芬隆,誤判,"人工修正:葉用甘藷=小葉菜類,Diafenthiuron於小葉菜類有→誤判"
37,甘藷,密滅汀,誤判,"人工修正:葉用甘藷=小葉菜類,Milbemectin於小葉菜類0.2→誤判"
38,甘藷,滅草胺,確認,"葉用甘藷=小葉菜類,但Metazachlor無小葉菜類→不影響,仍確認"
53,胡麻,可芬諾,存疑,Chromafenozide僅列芝麻0.5、無亞麻籽、無乾豆類；作物名「胡麻」在附表一無對應項；附表一另有「芝麻」與「亞麻籽」兩獨立項(容許量不同)，兩者雖皆屬附表五乾豆類，但胡麻究係芝麻(Sesamum indicum，台灣農藥慣用名)或亞麻籽(Linum)須經農業部使用範圍/作物名對照確認。確認前保守維持不得檢出候選。(前次誤設誤判/檢核完成已改正)
54,胡麻,得克芬胺,存疑,混合劑：Tebuconazole乾豆類0.5(芝麻與亞麻籽皆屬乾豆類，皆涵蓋)，但Cyflufenamid僅列芝麻0.05、無亞麻籽/乾豆類。若胡麻=芝麻→兩成分皆有=誤判；若胡麻=亞麻籽→Cyflufenamid缺標準=不得檢出。作物名「胡麻」在附表一無對應項；附表一另有「芝麻」與「亞麻籽」兩獨立項(容許量不同)，兩者雖皆屬附表五乾豆類，但胡麻究係芝麻(Sesamum indicum，台灣農藥慣用名)或亞麻籽(Linum)須經農業部使用範圍/作物名對照確認。確認前保守維持不得檢出候選。
55,胡麻,覆滅蟎,存疑,Formetanate僅列芝麻0.1、無亞麻籽、無乾豆類；作物名「胡麻」在附表一無對應項；附表一另有「芝麻」與「亞麻籽」兩獨立項(容許量不同)，兩者雖皆屬附表五乾豆類，但胡麻究係芝麻(Sesamum indicum，台灣農藥慣用名)或亞麻籽(Linum)須經農業部使用範圍/作物名對照確認。確認前保守維持不得檢出候選。(前次誤設誤判/檢核完成已改正)
56,茄科小葉菜類,可芬諾,部分確認,"枸杞有;龍葵於附表一查無任何藥劑,其作物地位待釐清(人工提出)"
63,婆羅門參,殺紋依得利,誤判,Etridiazole有小葉菜類0.5 ppm，Hymexazol有洋牛蒡葉0.01 ppm；防檢署已將黑婆羅門參使用範圍修正為婆羅門參並稱已有相對應MRL。傾向誤判，但婆羅門參與洋牛蒡葉名稱對照仍保留主管機關確認
65,旋花科根菜類,可芬諾,誤判,延伸5.1版將旋花科根菜對應甘藷，Chromafenozide已有甘藷標準，傾向誤判；人工備註未找到「旋花科根菜類」明文，須重新確認此群組名稱的適用依據
71,菊科小葉菜類,可芬諾,誤判,延伸5.1版列不結球/半結球萵苣、茼蒿、山茼蒿、紅鳳菜、白鳳菜、艾草；人工另查到較廣作物分類含芳香萬壽菊、闊包菊、洋牛蒡葉，需確認本登記群組究竟採哪一版成員後再判
77,黑婆羅門參,鋅錳座賽胺,存疑,Zoxamide有「黑皮波羅門參」0.02 ppm，與登記作物「黑婆羅門參」疑為名稱差異；另Mancozeb殘留物定義仍待食藥署確認，混合劑不得先定案
85,蔥科小葉菜類,嘉賜銅,誤判,官方免訂容許量資料明列Copper oxychloride；Kasugamycin已涵蓋蔥科小葉菜群組成員，故仍傾向誤判。人工備註將Copper oxychloride誤認為不得檢出，須依官方資料重新簽核
88,蔥科根菜類,嘉賜銅,部分確認,Copper oxychloride依法免訂；Kasugamycin於蕗蕎/蒜有0.2 ppm、洋蔥未列，故傾向部分確認。人工備註對Copper oxychloride的判讀錯誤，須重新簽核
