筆次,作物,藥劑,原候選判定
1,十字花科小葉菜類,快得克絕,"OXINE-COPPER=不得檢出候選(標準有此成分(15 列),但本作物/分類/通用列皆查無) | CYMOXANIL=有容許量(十字花科小葉菜類 1ppm)"
2,十字花科小葉菜類,依殺松,"ISAZOFOS=不得檢出候選(標準有此成分(1 列),但本作物/分類/通用列皆查無)"
3,十字花科小葉菜類,殺紋依得利,"ETRIDIAZOLE=有容許量(小葉菜類 0.5ppm) | HYMEXAZOL=不得檢出候選(標準有此成分(43 列),但本作物/分類/通用列皆查無)"
4,十字花科包葉菜類,快得克絕,"OXINE-COPPER=不得檢出候選(標準有此成分(15 列),但本作物/分類/通用列皆查無) | CYMOXANIL=有容許量(包葉菜類 1ppm)"
5,十字花科根菜類,白克松,"PYRACLOFOS=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)"
6,十字花科根菜類,托福松,"TERBUFOS=不得檢出候選(標準有此成分(12 列),但本作物/分類/通用列皆查無)"
7,十字花科根菜類,免扶克,"BENFURACARB=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)"
8,十字花科根菜類,汰芬隆,"DIAFENTHIURON=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)"
9,十字花科根菜類,依殺松,"ISAZOFOS=不得檢出候選(標準有此成分(1 列),但本作物/分類/通用列皆查無)"
10,十字花科根菜類,鋅錳座賽胺,"MANCOZEB=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | ZOXAMIDE=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)"
