"本檔為研究建議,未經人工確認不得使用。"
"App作物","標準近似名","建議(涵蓋/不涵蓋/無法判斷)","理由","來源","信心(高/中/低)"
"十字花科小葉菜類","其他十字花科小葉菜類(芥菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「芥菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#181","中"
"十字花科小葉菜類","十字花科小葉菜類(小松菜、蕪菁葉除外)","無法判斷","App 作物是群組名稱「十字花科小葉菜類」，標準近似名「十字花科小葉菜類(小松菜、蕪菁葉除外)」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"十字花科包葉菜類","其他十字花科包葉菜類(甘藍、抱子甘藍除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甘藍、抱子甘藍」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#112","中"
"十字花科包葉菜類","其他十字花科包葉菜類(甘藍、抱子甘藍、花椰菜、青花菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甘藍、抱子甘藍、花椰菜、青花菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#100","中"
"十字花科包葉菜類","其他十字花科包葉菜類(甘藍除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甘藍」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#115","中"
"十字花科包葉菜類","其他十字花科包葉菜類(甘藍、青花菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甘藍、青花菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#043","中"
"十字花科包葉菜類","其他十字花科包葉菜類(甘藍、抱子甘藍、花椰菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「甘藍、抱子甘藍、花椰菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#088","中"
"十字花科包葉菜類","其他十字花科包葉菜類(花椰菜除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「花椰菜」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#097","中"
"十字花科包葉菜類","十字花科包葉菜類(球莖甘藍除外)","無法判斷","App 作物是群組名稱「十字花科包葉菜類」，標準近似名「十字花科包葉菜類(球莖甘藍除外)」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"大豆","大豆原油","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「大豆」不能視為「大豆原油」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
