"作物","藥劑","成分","通用列名","建議","引用規則節號","容許量ppm(建議涵蓋時)"
"十字花科小葉菜類","因汀氟滅","FLUBENDIAMIDE","其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外)","FLUBENDIAMIDE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","140、141","-"
"十字花科小葉菜類","因得克","INDOXACARB","其他(蔬果類)*、其他(穀類)*、其他(茶類)*","INDOXACARB：建議涵蓋（附表一註五檢體 I 類；只代表定量極限，不代表核准用藥範圍）","006","0.01*"
"十字花科小葉菜類","克凡派","CHLORFENAPYR","其他瓜果類(洋香瓜除外)、其他小葉菜類(韭菜、茼蒿、菠菜、葉用豌豆除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","CHLORFENAPYR：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","033、053、006、007、008","-"
"十字花科小葉菜類","克福隆","CHLORFLUAZURON","其他小葉菜類(菠菜除外)、其他包葉菜類(結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","CHLORFLUAZURON：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","054、009、006、007、008","-"
"十字花科小葉菜類","亞托敏","AZOXYSTROBIN","其他小葉菜類(半結球萵苣、不結球萵苣、芹菜、青蔥、蒜及茼蒿除外)、其他小漿果類(藍莓、覆盆子除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他果菜類(枸杞、茄子、甜椒、番茄、辣椒除外)、其他根莖菜類(芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍除外)、其他草木本植物(火龍果花、菊花除外)、其他堅果類(杏仁、開心果除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","AZOXYSTROBIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","017、018、019、020、021、022、023、006、007、008","-"
"十字花科小葉菜類","阿巴汀","ABAMECTIN","其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","ABAMECTIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","004、005、006、007、008","-"
"十字花科小葉菜類","阿巴安勃","ABAMECTIN","其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","ABAMECTIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","004、005、006、007、008","-"
"十字花科小葉菜類","氟大滅","FLUBENDIAMIDE","其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外)","FLUBENDIAMIDE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","140、141","-"
"十字花科小葉菜類","美氟綜","METAFLUMIZONE","其他(蔬果類)*、其他(穀類)*、其他(茶類)*","METAFLUMIZONE：建議涵蓋（附表一註五檢體 I 類；只代表定量極限，不代表核准用藥範圍）","006","0.01*"
"十字花科小葉菜類","益達胺","IMIDACLOPRID","其他小葉菜類(半結球萵苣、不結球萵苣、蒜、蕗蕎及芹菜除外)、其他包葉菜類(結球萵苣除外)、其他豆菜類(毛豆除外)、其他果菜類(甜椒、金針除外)、其他核果類(橄欖除外)、其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)、其他乾豆類(油菜籽、葵花籽、蓮子、落花生、大豆、芝麻除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","IMIDACLOPRID：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","156、009、059、157、084、158、159、006、007、008","-"
"十字花科小葉菜類","硫敵克","THIODICARB","其他小葉菜類(芹菜除外)、其他包葉菜類(甘藍、青花菜及結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","THIODICARB：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","004、109、006、007、008","-"
"十字花科小葉菜類","毆殺松","ACEPHATE","其他小葉菜類(芹菜除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","ACEPHATE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","004、009、010、006、007、008","-"
"十字花科小葉菜類","毆殺滅","OXAMYL","其他小葉菜類(芹菜除外)、其他柑桔類(柳橙除外)、其他果菜類(番茄除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","OXAMYL：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","004、129、065、006、007、008","-"
"十字花科小葉菜類","賜諾殺","SPINOSAD","其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及紫蘇除外)、其他梨果類(蘋果除外)","SPINOSAD：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","167、168","-"
"十字花科小葉菜類","鋅錳滅達樂","METALAXYL","其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及菠菜除外)、其他小漿果類(草莓、葡萄、蔓越莓及藍莓除外)、其他果菜類(甜椒除外)、其他根莖菜類(洋蔥、胡蘿蔔、馬鈴薯、甜菜根及蘿蔔除外)","METALAXYL：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","120、121、010、122","-"
"十字花科小葉菜類","賽洛寧","LAMBDA-CYHALOTHRIN","其他小葉菜類(蒜除外)、其他核果類(荔枝除外)、其他根莖菜類(山藥、牛蒡、甘藷、芋頭、豆薯、洋蔥、胡蘿蔔、百合鱗莖、紅蔥頭、馬鈴薯、黑皮波羅門參、蒜頭、樹薯、蕎頭、狗尾草根、闊葉大豆根及蘆筍除外)、其他堅果類(胡桃、榛果除外)、其他梨果類(柿除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","LAMBDA-CYHALOTHRIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","068、069、070、071、072、006、007、008","-"
"十字花科小葉菜類","賽滅淨","CYROMAZINE","其他小葉菜類(?結球萵苣、半結球萵苣、芹菜、青蔥、菠菜、茼蒿除外)、其他豆菜類(萊豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、茄子、枸杞、番茄、辣椒除外)","CYROMAZINE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","079、080、009、081","-"
"十字花科包葉菜類","白列克敏","BOSCALID","其他瓜菜類(南瓜、小黃瓜、胡瓜除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","BOSCALID：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","029、006、007、008","-"
"十字花科包葉菜類","因汀氟滅","EMAMECTIN BENZOATE || FLUBENDIAMIDE","其他瓜果類(洋香瓜除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、番茄、辣椒除外)、其他梨果類(油桃、桃、蘋果除外) || 其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外)","EMAMECTIN BENZOATE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性） || FLUBENDIAMIDE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","033、013、009、048、130 || 140、141","- || -"
"十字花科包葉菜類","因得克","INDOXACARB","其他(蔬果類)*、其他(穀類)*、其他(茶類)*","INDOXACARB：建議涵蓋（附表一註五檢體 I 類；只代表定量極限，不代表核准用藥範圍）","006","0.01*"
"十字花科包葉菜類","因滅汀","EMAMECTIN BENZOATE","其他瓜果類(洋香瓜除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、番茄、辣椒除外)、其他梨果類(油桃、桃、蘋果除外)","EMAMECTIN BENZOATE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","033、013、009、048、130","-"
"十字花科包葉菜類","百滅寧","PERMETHRIN","其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","PERMETHRIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","174、173、175、006、007、008","-"
"十字花科包葉菜類","佈飛百滅寧","PERMETHRIN","其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","PERMETHRIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","174、173、175、006、007、008","-"
"十字花科包葉菜類","佈飛賽滅寧","CYPERMETHRIN","其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","CYPERMETHRIN：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","073、074、075、006、007、008","-"
"十字花科包葉菜類","克福隆","CHLORFLUAZURON","其他小葉菜類(菠菜除外)、其他包葉菜類(結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","CHLORFLUAZURON：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","054、009、006、007、008","-"
"十字花科包葉菜類","芬化利","FENVALERATE","其他小漿果類(楊桃除外)、其他根莖菜類(胡蘿蔔除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*","FENVALERATE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","138、086、006、007、008","-"
"十字花科包葉菜類","氟大滅","FLUBENDIAMIDE","其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外)","FLUBENDIAMIDE：規則無明文（D 檔標示一般「其他…」列無逐列明文定義；即使另有星號列也不得略過此不確定性）","140、141","-"
